Haldex Non-disclosure Agreement	0	x
May 2015. REG NO: HDX4-51-130	0	x
This non-disclosure agreement (the “Agreement”) is entered into by and between	0	c
_______________________, with company registration number ___________________, address at	0	c
__________________________________  and fax number ________________  hereinafter referred to as	0	c
“Haldex”, and	0	s
______________________, with company registration number ___________________ , address at	0	c
__________________________________ and fax number_____________________ hereinafter	0	c
referred to as the Supplier.	0	s
Haldex and Supplier are hereinafter jointly referred to as Parties and individually as Party.	0	s
1.           Purpose	0	d
Haldex and the Supplier will evaluate the possibility to enter into an agreement regarding	0	c
                        . For this purpose, the Parties need to exchange Confidential Information.	11	s
2.           Confidential Information	0	d
2.1         Confidential Information shall mean:	0	d
i)            all technical, financial and business information disclosed by one Party to the	0	c
other Party or by another Haldex Group entity to the Supplier including, but not	0	c
limited to, documents, data, information, prototypes or components relating to	0	c
devices, methods, materials, apparatus, designs, research, yields and	0	c
specifications; and	0	s
ii)           information relating to the existence of this Agreement;	15	s
2.2         Confidential Information shall not include:	0	d
i)            information which was known by a Party prior to receiving it from the other	0	c
Party if this can be demonstrated by written record;	0	s
ii)           information which at the time of disclosure is in the public domain or which is	0	c
published after disclosure or otherwise becomes part of  the public domain	0	c
without breach of this Agreement;	0	s
iii)          information which the Party can show was received from a third party who did	0	c
not to the best knowledge of the Party receive the information, directly or	0	c
indirectly, from the other Party under any obligation of confidentiality;	0	s
DOCUMENT NO. HDX4-51-130     Replaces SCM-0021                               LEGAL#1597040V1	0	e
iv)          information developed or created by one Party independently of the other,	0	c
without any part thereof having been developed or created with assistance or	0	c
information received from the other Party; and	0	s
v)           information which is disclosed due to any requirement under mandatory law.	14	s
3.           Undertakings of the Parties	0	d
The Parties undertake:	0	d
i)            to treat all Confidential Information as absolutely secret, private and	0	c
confidential;	0	s
ii)           to take all steps necessary to preserve such confidentiality and secrecy;	0	s
iii)          to prevent disclosure of any such Confidential Information to any third party;	0	s
iv)          to use the Confidential Information solely for the purpose set out in Section 1;	0	s
v)           to disclose the Confidential Information only to those of its directors, employees	0	c
and consultants who need the Confidential Information to conduct tasks in	0	c
relation to the purpose set out in Section 1;	0	s
vi)          to ascertain that each person who receives Confidential Information is made	0	c
aware of and comply with this Agreement; and	0	s
vii)          to immediately upon request deliver to the other Party all Confidential	0	c
Information that belong to that Party in any form without retaining any copies	0	c
thereof, or, at the other Party’s option, certify in writing that all copies of such	0	c
information have been destroyed.	36	s
4.           Disclosure under mandatory law	0	d
If either Party due to mandatory law is forced to disclose information which would otherwise	0	c
be considered as Confidential Information, the Party shall prior to the disclosure inform the	0	c
other Party hereof and the Parties shall mutually decide how to minimize the negative	0	c
consequences thereof.	52	s
5.           Indemnification	0	d
The Parties undertake to reimburse, indemnify and hold the other Party harmless from any	0	c
damages, loss or expense incurred by it as a result of either Party violating the terms of this	0	c
Agreement.	57	s
6.           No license	0	d
Nothing in this Agreement shall be deemed to constitute or to imply the granting of any	0	c
license, immunity or other right under any intellectual property right of either Party, or to	0	c
DOCUMENT NO. HDX4-51-130     Replaces SCM-0021                               LEGAL#1597040V1	0	e
provide a commitment of any kind by either Party to enter into further agreements with the	0	c
other Party.	61	s
7.           Disputes and Governing Law	0	d
7.1         Any and all disputes, controversies and claims arising out of or in connection with this	0	c
Agreement, or the breach, termination or invalidity hereof, shall be settled by arbitration in	0	c
accordance with the Rules of the Arbitration Institute of the Stockholm Chamber of	0	c
Commerce. The arbitral tribunal shall be composed of three arbitrators. The place of	0	c
arbitration including the making of the award shall be Stockholm, Sweden. The language to	0	c
be used in the arbitral proceedings shall be English.	0	s
7.2         This Agreement shall be governed by the substantive laws of Sweden.	67	s
8.           Term and termination	0	d
8.1         This Agreement enters into force when signed by both Parties. The initial term of the	0	c
Agreement is three (3) years. If the Agreement is not terminated by notice six (6) months	0	c
prior to the end of each term, it shall be extended with twelve (12) months with the same	0	c
notice period until terminated as aforesaid by any Party. However, all obligations of	0	c
confidentiality and non-use will survive the termination of this Agreement.	0	s
8.2         The obligations under this Agreement shall apply retroactively to any information exchanged	0	c
prior to the effectiveness of this Agreement.	0	s
8.3         Should the Parties enter into an agreement of the type referred in Section 1 the	0	c
confidentiality provisions in such agreement will prevail over this Agreement.	-1	s
______________	0	e
DOCUMENT NO. HDX4-51-130     Replaces SCM-0021                               LEGAL#1597040V1	0	e
This Agreement has been executed in two (2) identical copies of which the Parties have taken one (1)	0	c
each.	-1	s
Place:                                                         Place:	0	x
Date:                                                          Date:	0	x
_____________________________                        _____________________________	0	x
Name of Haldex company                                   Supplier	0	x
_____________________________                        _____________________________	0	x
Signature                                                     Signature	0	x
_____________________________                        _____________________________	0	x
Name (print)                                                  Name (print)	0	x
____________________________                          _____________________________	0	x
Title                                                           Title	0	x
DOCUMENT NO. HDX4-51-130     Replaces SCM-0021                               LEGAL#1597040V1	0	x
